LAST UPDATE,freq,building,n_bedrooms,currency,geo,TIME_PERIOD,value,housearea
11/12/23 23:00:00,Annual,flat,3,Euro,Rijeka,2019,1400,240
11/12/23 23:00:00,Annual,flat,3,Euro,Rijeka,2020,1450,255
11/12/23 23:00:00,Annual,flat,3,Euro,Rijeka,2021,1500,268
11/12/23 23:00:00,Annual,flat,3,Euro,Rijeka,2022,1450,271
11/12/23 23:00:00,Annual,flat,3,Euro,Rijeka,2023,1800,300
11/12/23 23:00:00,Annual,flat,1,Euro,Timisoara,2022,400,91
11/12/23 23:00:00,Annual,flat,1,Euro,Timisoara,2023,700,105
11/12/23 23:00:00,Annual,flat,2,Euro,Timisoara,2024,550,89
11/12/23 23:00:00,Annual,flat,2,Euro,Timisoara,2021,500,87
11/12/23 23:00:00,Annual,flat,2,Euro,Timisoara,2022,600,90
11/12/23 23:00:00,Annual,flat,2,Euro,Timisoara,2023,300,30
11/12/23 23:00:00,Annual,flat,2,Euro,Timisoara,2024,400,45
11/12/23 23:00:00,Annual,flat,2,Euro,Timisoara,2024,450,50
11/12/23 23:00:00,Annual,flat,2,Euro,Timisoara,2024,550,62
11/12/23 23:00:00,Annual,flat,2,Euro,Timisoara,2024,200,20
11/12/23 23:00:00,Annual,flat,2,Euro,Timisoara,2024,300,30
11/12/23 23:00:00,Annual,flat,2,Euro,Timisoara,2024,350,50
11/12/23 23:00:00,Annual,flat,3,Euro,Timisoara,2024,400,60
11/12/23 23:00:00,Annual,flat,3,Euro,Timisoara,2023,450,85
11/12/23 23:00:00,Annual,flat,3,Euro,Timisoara,2022,300,40
11/12/23 23:00:00,Annual,flat,3,Euro,Timisoara,2021,450,50
11/12/23 23:00:00,Annual,flat,1,Euro,Zagreb,2022,700,91
11/12/23 23:00:00,Annual,flat,1,Euro,Zagreb,2023,800,105
11/12/23 23:00:00,Annual,flat,2,Euro,Zagreb,2024,700,89
11/12/23 23:00:00,Annual,flat,2,Euro,Zagreb,2021,750,87
11/12/23 23:00:00,Annual,flat,2,Euro,Zagreb,2022,700,90
11/12/23 23:00:00,Annual,flat,2,Euro,Zagreb,2023,350,30
11/12/23 23:00:00,Annual,flat,2,Euro,Zagreb,2024,450,45
11/12/23 23:00:00,Annual,flat,2,Euro,Zagreb,2024,550,50
11/12/23 23:00:00,Annual,flat,2,Euro,Zagreb,2024,600,62
11/12/23 23:00:00,Annual,flat,2,Euro,Zagreb,2024,300,20
11/12/23 23:00:00,Annual,flat,2,Euro,Zagreb,2024,350,30
11/12/23 23:00:00,Annual,flat,2,Euro,Zagreb,2024,600,50
11/12/23 23:00:00,Annual,flat,3,Euro,Zagreb,2024,500,60
11/12/23 23:00:00,Annual,flat,3,Euro,Zagreb,2023,750,85
11/12/23 23:00:00,Annual,flat,3,Euro,Zagreb,2022,500,40
11/12/23 23:00:00,Annual,flat,3,Euro,Zagreb,2021,600,50
